0, 0, Header, 1, 11, 96
1, 0, Start_track
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Tempo, 428571
1, 0, End_track
2, 0, Start_track
2, 0, Title_t, "SGP2"
2, 0, End_track
3, 0, Start_track
3, 0, Title_t, "MIDI Out #2"
3, 0, Control_c, 9, 10, 64
3, 0, Control_c, 9, 7, 100
3, 0, Pitch_bend_c, 9, 8192
3, 0, Control_c, 9, 101, 0
3, 0, Control_c, 9, 100, 0
3, 0, Control_c, 9, 6, 12
3, 0, Control_c, 9, 0, 0
3, 0, Control_c, 9, 32, 3
3, 0, Control_c, 9, 10, 64
3, 0, Control_c, 9, 7, 100
3, 0, Pitch_bend_c, 9, 8192
3, 0, Program_c, 9, 30
3, 0, Control_c, 9, 101, 0
3, 0, Control_c, 9, 100, 0
3, 0, Control_c, 9, 6, 12
3, 0, Control_c, 9, 0, 0
3, 0, Control_c, 9, 32, 3
3, 0, Control_c, 9, 10, 64
3, 0, Control_c, 9, 7, 100
3, 0, Pitch_bend_c, 9, 8192
3, 0, Program_c, 9, 30
3, 0, Note_on_c, 9, 36, 100
3, 0, Note_on_c, 9, 38, 100
3, 8, Note_off_c, 9, 36, 64
3, 8, Note_off_c, 9, 38, 64
3, 24, Note_on_c, 9, 38, 100
3, 32, Note_off_c, 9, 38, 64
3, 48, Note_on_c, 9, 38, 100
3, 56, Note_off_c, 9, 38, 64
3, 72, Note_on_c, 9, 38, 100
3, 80, Note_off_c, 9, 38, 64
3, 96, Note_on_c, 9, 36, 100
3, 96, Note_on_c, 9, 38, 100
3, 104, Note_off_c, 9, 38, 64
3, 104, Note_off_c, 9, 36, 64
3, 120, Note_on_c, 9, 38, 100
3, 128, Note_off_c, 9, 38, 64
3, 144, Note_on_c, 9, 38, 100
3, 152, Note_off_c, 9, 38, 64
3, 168, Note_on_c, 9, 38, 100
3, 176, Note_off_c, 9, 38, 64
3, 192, Note_on_c, 9, 36, 100
3, 192, Note_on_c, 9, 38, 100
3, 200, Note_off_c, 9, 38, 64
3, 200, Note_off_c, 9, 36, 64
3, 216, Note_on_c, 9, 38, 100
3, 224, Note_off_c, 9, 38, 64
3, 240, Note_on_c, 9, 38, 100
3, 248, Note_off_c, 9, 38, 64
3, 264, Note_on_c, 9, 38, 100
3, 272, Note_off_c, 9, 38, 64
3, 288, Note_on_c, 9, 36, 100
3, 288, Note_on_c, 9, 38, 100
3, 296, Note_off_c, 9, 38, 64
3, 296, Note_off_c, 9, 36, 64
3, 312, Note_on_c, 9, 38, 100
3, 320, Note_off_c, 9, 38, 64
3, 336, Note_on_c, 9, 38, 100
3, 344, Note_off_c, 9, 38, 64
3, 360, Note_on_c, 9, 38, 100
3, 368, Note_off_c, 9, 38, 64
3, 384, Note_on_c, 9, 49, 100
3, 384, Note_on_c, 9, 36, 100
3, 384, Note_on_c, 9, 38, 100
